"Code","Area","Settlement","Street","Latitude","Longitude","StartDateTime","EndDateTime","Car/Taxi","Goods Vehicle","Bus/Coach","M/Cycle","Cyclist","Pedestrian","Total"
"AA","Angus","Arbroath","Dundee Road",56.55205,-2.60242,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",45,5,3,1,0,1,55
"AB","Angus","Arbroath","Cairnie Street",56.56332,-2.59271,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",34,2,0,0,0,1,37
"AC","Angus","Arbroath","Seaton Road",56.562755,-2.574384,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",11,1,0,0,0,1,13
"AD","Angus","Arbroath","Keptie Road",56.559343,-2.598178,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",18,2,3,0,1,3,27
"AE","Angus","Arbroath","Fisheracre",56.5646,-2.582266,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",40,5,1,0,2,4,52
"AF","Angus","Arbroath","Millgate Loan",56.555553,-2.590108,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",4,0,0,0,0,4,8
"DB","Dundee City","Dundee","Strathmore Avenue",56.474585,-2.9920727,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",65,3,0,0,0,1,69
"DD","Dundee City","Dundee","Perth Road",56.45656571,-3.004263857,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",53,6,0,0,0,10,69
"DE","Dundee City","Dundee","Lochee Road",56.4678371,-2.998348614,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",42,3,2,0,0,4,51
"DG","Dundee City","Dundee","Blackness Road",56.460823,-3.0051831,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",30,2,1,0,0,1,34
"DH","Dundee City","Dundee","Forfar Road",56.474686,-2.955192,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",48,3,0,0,0,3,54
"DI","Dundee City","Dundee","Arbroath Road",56.46832775,-2.955412622,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",93,6,2,0,1,8,110
"FA","Falkirk","Falkirk","Grangemouth Road",56.004026,-3.7673252,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",32,7,0,0,0,0,39
"FB","Falkirk","Falkirk","Etna Road",56.00897,-3.7778,"2017-05-10T00:00:00.000Z","2017-05-10T01:00:00.000Z",5,0,0,0,0,0,5
