Timestamp,Value
Mar 2016,18.6
Apr 2016,86.2
May 2016,46
Jun 2016,102.6
Jul 2016,57.6
Aug 2016,41.6
Sep 2016,36.4
Oct 2016,36.6
Nov 2016,48.6
Dec 2016,65
Jan 2017,26.4
Feb 2017,71.2
Mar 2017,61.6
Apr 2017,4.8
May 2017,26.4
Jun 2017,211
Jul 2017,73.6
Aug 2017,78.2
Sep 2017,69.4
Oct 2017,59.6
Nov 2017,45.2
Dec 2017,60.2
Jan 2018,91
Feb 2018,35
Mar 2018,90
Apr 2018,102
May 2018,18.2
Jun 2018,56.4
Jul 2018,38
Aug 2018,64.8
Sep 2018,55.8
Oct 2018,32
Nov 2018,66.6
Dec 2018,34.4
Jan 2019,11.2
Feb 2019,23.4
Mar 2019,91.2
Apr 2019,48
May 2019,91.4
Jun 2019,112.8
Jul 2019,106.2
Aug 2019,127.8
Sep 2019,84.2
Oct 2019,117.4
Nov 2019,95
Dec 2019,59.8
Jan 2020,81
Feb 2020,195.6
Mar 2020,59.2
Apr 2020,6.6
May 2020,31.6
Jun 2020,71.6
Jul 2020,85.6
Aug 2020,181.2
Sep 2020,45.4
Oct 2020,120.6
Nov 2020,57
Dec 2020,131.2
Jan 2021,124.4
Feb 2021,66.8
Mar 2021,59.2
Apr 2021,11.6
May 2021,103.2
Jun 2021,38.2
Jul 2021,94.4
Aug 2021,69.8
Sep 2021,63.2
Oct 2021,135.6
Nov 2021,42.6
Dec 2021,71.8
Jan 2022,27.6
Feb 2022,141.6
Mar 2022,28.8
Apr 2022,30.8
May 2022,33.8
Jun 2022,26.8
Jul 2022,27.8
Aug 2022,55.6
Sep 2022,97
Oct 2022,97.4
Nov 2022,122.2
Dec 2022,111.2
Jan 2023,51.4
Feb 2023,39.8
Mar 2023,73.6
Apr 2023,35.2
May 2023,27.4
Jun 2023,66.8
Jul 2023,115.2
Aug 2023,63.6
Sep 2023,88.4
Oct 2023,150.2
Nov 2023,82
Dec 2023,122.6
Jan 2024,89.4
Feb 2024,62.2
Mar 2024,111.8
Apr 2024,116.4
May 2024,224.2
Jun 2024,28
Jul 2024,59.8
Aug 2024,56
Sep 2024,49.2
Oct 2024,64.4
Nov 2024,30
Dec 2024,71.4
Jan 2025,62.2
Feb 2025,35.2
Mar 2025,23.6
Apr 2025,0
