Timestamp,Value
May 2015,67.8
Jun 2015,43
Jul 2015,94
Aug 2015,37.8
Sep 2015,23.8
Oct 2015,22
Nov 2015,156.2
Dec 2015,182.6
Jan 2016,137.6
Feb 2016,72.6
Mar 2016,24.4
Apr 2016,58
May 2016,32
Jun 2016,74.6
Jul 2016,55.2
Aug 2016,46.8
Sep 2016,41.8
Oct 2016,38.6
Nov 2016,36.4
Dec 2016,58.4
Jan 2017,23.2
Feb 2017,66
Mar 2017,58.4
Apr 2017,3
May 2017,28
Jun 2017,169.2
Jul 2017,81.2
Aug 2017,73.4
Sep 2017,58.6
Oct 2017,50.4
Nov 2017,45.6
Dec 2017,59.6
Jan 2018,83.2
Feb 2018,37.8
Mar 2018,64.2
Apr 2018,67.4
May 2018,16
Jun 2018,54.6
Jul 2018,40.8
Aug 2018,53
Sep 2018,55
Oct 2018,32.8
Nov 2018,66.6
Dec 2018,38.4
Jan 2019,9
Feb 2019,19.4
Mar 2019,80
Apr 2019,37.6
May 2019,80
Jun 2019,113.2
Jul 2019,81.8
Aug 2019,141.2
Sep 2019,80.6
Oct 2019,94.8
Nov 2019,82
Dec 2019,69.6
Jan 2020,75.6
Feb 2020,180.4
Mar 2020,48.6
Apr 2020,4
May 2020,20.4
Jun 2020,68.6
Jul 2020,77.8
Aug 2020,150
Sep 2020,49.2
Oct 2020,104.6
Nov 2020,58.6
Dec 2020,121.6
Jan 2021,96.8
Feb 2021,67.4
Mar 2021,48
Apr 2021,5.2
May 2021,97.4
Jun 2021,22.6
Jul 2021,65.8
Aug 2021,97
Sep 2021,55
Oct 2021,114.8
Nov 2021,34.8
Dec 2021,59.6
Jan 2022,23.8
Feb 2022,121.4
Mar 2022,23.6
Apr 2022,24.4
May 2022,39.6
Jun 2022,33.6
Jul 2022,31.8
Aug 2022,59.8
Sep 2022,76.2
Oct 2022,88.8
Nov 2022,97.4
Dec 2022,98.8
Jan 2023,42.6
Feb 2023,33.2
Mar 2023,66
Apr 2023,30.2
May 2023,22.6
Jun 2023,58.8
Jul 2023,83.2
Aug 2023,34
Sep 2023,85
Oct 2023,116.4
Nov 2023,56.6
Dec 2023,103.8
Jan 2024,70.6
Feb 2024,52
Mar 2024,89.8
Apr 2024,91.4
May 2024,137.8
Jun 2024,31
Jul 2024,48
Aug 2024,62.2
Sep 2024,54.6
Oct 2024,57.4
Nov 2024,23.2
Dec 2024,70
Jan 2025,56.2
Feb 2025,31.8
Mar 2025,23.8
Apr 2025,0
