Timestamp,Value
May 2015,60.4
Jun 2015,29.2
Jul 2015,95.2
Aug 2015,42.8
Sep 2015,28.6
Oct 2015,23.2
Nov 2015,140
Dec 2015,172
Jan 2016,91.8
Feb 2016,53.8
Mar 2016,22.8
Apr 2016,68.8
May 2016,31
Jun 2016,89.4
Jul 2016,51.8
Aug 2016,33.8
Sep 2016,31.8
Oct 2016,28.2
Nov 2016,50.2
Dec 2016,54
Jan 2017,22
Feb 2017,49.2
Mar 2017,38.6
Apr 2017,5.2
May 2017,25.2
Jun 2017,184.8
Jul 2017,80.4
Aug 2017,65.4
Sep 2017,70.2
Oct 2017,47.6
Nov 2017,40.6
Dec 2017,45.8
Jan 2018,63.4
Feb 2018,32.4
Mar 2018,49.8
Apr 2018,71.6
May 2018,20.2
Jun 2018,57.8
Jul 2018,25.2
Aug 2018,60.4
Sep 2018,51.4
Oct 2018,32.6
Nov 2018,52.2
Dec 2018,27.2
Jan 2019,9.8
Feb 2019,13.6
Mar 2019,71.2
Apr 2019,38.2
May 2019,73
Jun 2019,95
Jul 2019,95.6
Aug 2019,86.2
Sep 2019,74.8
Oct 2019,90.8
Nov 2019,81.6
Dec 2019,46
Jan 2020,57.4
Feb 2020,142
Mar 2020,37.6
Apr 2020,1.8
May 2020,20.8
Jun 2020,57.8
Jul 2020,72.4
Aug 2020,116.8
Sep 2020,40.6
Oct 2020,107.4
Nov 2020,34.8
Dec 2020,107
Jan 2021,109
Feb 2021,36.6
Mar 2021,39
Apr 2021,10
May 2021,83.8
Jun 2021,26.8
Jul 2021,80.2
Aug 2021,50.8
Sep 2021,51.6
Oct 2021,123.6
Nov 2021,37.6
Dec 2021,62.8
Jan 2022,22.4
Feb 2022,110.3
Mar 2022,27.2
Apr 2022,31.4
May 2022,29.8
Jun 2022,20.8
Jul 2022,27.6
Aug 2022,37.8
Sep 2022,93.4
Oct 2022,75.2
Nov 2022,92.4
Dec 2022,87.4
Jan 2023,36.4
Feb 2023,33.4
Mar 2023,54
Apr 2023,25.6
May 2023,20.4
Jun 2023,46.8
Jul 2023,72.6
Aug 2023,30.2
Sep 2023,69.8
Oct 2023,121.8
Nov 2023,70.8
Dec 2023,97.8
Jan 2024,71.2
Feb 2024,44.2
Mar 2024,81.8
Apr 2024,90.8
May 2024,149.2
Jun 2024,35.2
Jul 2024,47
Aug 2024,56.2
Sep 2024,42.6
Oct 2024,64
Nov 2024,25.6
Dec 2024,58
Jan 2025,53.8
Feb 2025,25.6
Mar 2025,17.2
Apr 2025,0
