Timestamp,Value
Jan 2016,14.4
Feb 2016,70.4
Mar 2016,29.2
Apr 2016,69.8
May 2016,35.6
Jun 2016,107.2
Jul 2016,61.4
Aug 2016,52
Sep 2016,48.8
Oct 2016,37
Nov 2016,42.8
Dec 2016,57.6
Jan 2017,23.6
Feb 2017,72
Mar 2017,65.2
Apr 2017,3.8
May 2017,32.2
Jun 2017,183.8
Jul 2017,73.8
Aug 2017,73.4
Sep 2017,61.6
Oct 2017,54
Nov 2017,45
Dec 2017,58.2
Jan 2018,83
Feb 2018,36
Mar 2018,74
Apr 2018,89
May 2018,17.8
Jun 2018,55.6
Jul 2018,44.4
Aug 2018,67.2
Sep 2018,54.2
Oct 2018,32.4
Nov 2018,74.8
Dec 2018,36
Jan 2019,8
Feb 2019,24.2
Mar 2019,88
Apr 2019,50.8
May 2019,90.4
Jun 2019,160.6
Jul 2019,90.6
Aug 2019,140
Sep 2019,88.8
Oct 2019,112.6
Nov 2019,91.2
Dec 2019,57.6
Jan 2020,71.2
Feb 2020,158.2
Mar 2020,46.8
Apr 2020,5
May 2020,22.8
Jun 2020,72
Jul 2020,81
Aug 2020,142.8
Sep 2020,45
Oct 2020,107.4
Nov 2020,52.6
Dec 2020,145
Jan 2021,104.4
Feb 2021,73.8
Mar 2021,54.2
Apr 2021,4.8
May 2021,115
Jun 2021,24.8
Jul 2021,78.4
Aug 2021,89.6
Sep 2021,54.8
Oct 2021,131
Nov 2021,38.2
Dec 2021,70
Jan 2022,21.2
Feb 2022,113.4
Mar 2022,23.4
Apr 2022,24.6
May 2022,36.6
Jun 2022,36
Jul 2022,32.2
Aug 2022,58.6
Sep 2022,94.8
Oct 2022,95.4
Nov 2022,113.4
Dec 2022,106.8
Jan 2023,40.8
Feb 2023,35.4
Mar 2023,66
Apr 2023,34.4
May 2023,22.2
Jun 2023,60
Jul 2023,88.4
Aug 2023,47.4
Sep 2023,92.2
Oct 2023,154.8
Nov 2023,68.8
Dec 2023,121.2
Jan 2024,74.2
Feb 2024,57.6
Mar 2024,113
Apr 2024,127.2
May 2024,197.6
Jun 2024,33.6
Jul 2024,60.5
Aug 2024,61.4
Sep 2024,64.2
Oct 2024,71
Nov 2024,29.2
Dec 2024,77.7
Jan 2025,40.8
Feb 2025,38.8
Mar 2025,26
Apr 2025,0
