Timestamp,Value
May 2015,47.4
Jun 2015,0
Jul 2015,96.6
Aug 2015,8.8
Sep 2015,4
Oct 2015,23.2
Nov 2015,152
Dec 2015,121
Jan 2016,73.6
Feb 2016,0
Mar 2016,0
Apr 2016,43
May 2016,13.8
Jun 2016,12
Jul 2016,65.4
Aug 2016,44.2
Sep 2016,15.8
Oct 2016,45.6
Nov 2016,60.2
Dec 2016,74.8
Jan 2017,25.6
Feb 2017,62.4
Mar 2017,47.4
Apr 2017,4
May 2017,28.6
Jun 2017,180.8
Jul 2017,69.4
Aug 2017,0
Sep 2017,0
Oct 2017,0
Nov 2017,36.4
Dec 2017,47.4
Jan 2018,66.2
Feb 2018,29.8
Mar 2018,74.6
Apr 2018,66.6
May 2018,16.4
Jun 2018,50.4
Jul 2018,31.8
Aug 2018,69.2
Sep 2018,47.4
Oct 2018,29.8
Nov 2018,57.6
Dec 2018,31.2
Jan 2019,11.4
Feb 2019,17.2
Mar 2019,73
Apr 2019,16.2
May 2019,71.8
Jun 2019,77.2
Jul 2019,99.8
Aug 2019,137.4
Sep 2019,78.4
Oct 2019,105.8
Nov 2019,74.2
Dec 2019,49
Jan 2020,67.6
Feb 2020,147.4
Mar 2020,40.2
Apr 2020,4.2
May 2020,18.2
Jun 2020,65.8
Jul 2020,75.4
Aug 2020,145
Sep 2020,43.8
Oct 2020,103.6
Nov 2020,48.4
Dec 2020,104.4
Jan 2021,108
Feb 2021,53.4
Mar 2021,36
Apr 2021,4.4
May 2021,89.4
Jun 2021,29.2
Jul 2021,108.2
Aug 2021,53.2
Sep 2021,56
Oct 2021,128.8
Nov 2021,34.8
Dec 2021,64
Jan 2022,18
Feb 2022,95.6
Mar 2022,24.8
Apr 2022,26
May 2022,30.8
Jun 2022,22.6
Jul 2022,28
Aug 2022,60.6
Sep 2022,75
Oct 2022,82.2
Nov 2022,98
Dec 2022,81.8
Jan 2023,35.4
Feb 2023,32
Mar 2023,69.8
Apr 2023,31.4
May 2023,27.8
Jun 2023,69.2
Jul 2023,97.4
Aug 2023,35.2
Sep 2023,83.4
Oct 2023,122
Nov 2023,60.8
Dec 2023,98.2
Jan 2024,55.4
Feb 2024,44.8
Mar 2024,84
Apr 2024,82.8
May 2024,153
Jun 2024,52.8
Jul 2024,47.2
Aug 2024,52.6
Sep 2024,44.6
Oct 2024,54.4
Nov 2024,23.8
Dec 2024,60.4
Jan 2025,47.2
Feb 2025,30.2
Mar 2025,22
Apr 2025,0
