station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Abbey St Bathans,55.85329633,-2.387448356,15018,36870,2025-03-23 07:00:00,4.8,4.8,5,65970010,0,75
Aberlour,57.48021805,-3.205975095,234150,37132,2025-03-23 08:00:00,6.2,6.2,10,66118010,0,206
Affric Lodge,57.26272622,-5.005979754,115301,35596,2025-03-23 08:00:00,2.6,2.6,5,65985010,0,162
Alford,57.24230294,-2.717123004,234170,37182,2025-03-23 08:00:00,7,7,10,66120010,0,51
Allnabad,58.34717676,-4.644621014,234151,37138,2025-01-29 14:00:00,14,14,20,66165010,1,115
Allt Dearg House,57.28490502,-6.187008123,115304,35604,2025-03-23 08:00:00,10,10,10,65987010,0,81
Amlaird,55.66964373,-4.413260863,115500,35724,2025-03-23 08:00:00,3.6,3.6,5,66005010,0,62
Amod Farm,55.35009103,-5.717857841,115501,35728,2024-07-31 10:00:00,0,0,0,66006010,1,224
Annfield,56.06640057,-3.371633207,15198,37068,2025-03-23 08:00:00,15.6,15.6,20,66109010,0,96
Ashgrove,55.66308049,-4.757486092,115506,35732,2025-03-23 08:00:00,6.2,6.2,10,66007010,0,15
Auchdergannach,57.22063972,-3.651932222,491811,38134,2025-03-23 08:00:00,10.1,10.1,20,66230010,0,119
Auchentroig,56.11221933,-4.342412217,15163,37032,2025-03-23 08:00:00,5,5,5,66162010,0,44
Auchinner,56.31678388,-4.112254665,14964,36720,2025-03-23 07:00:00,10.8,10.8,20,66082010,0,160
Auchnafree,56.47302976,-3.904678161,14952,36678,2025-03-23 08:00:00,12.2,12.2,20,66079010,0,217
Avochie,57.50564634,-2.782377895,234161,37164,2025-03-23 07:00:00,5.8,5.8,10,66119010,0,70
Avonbank,55.66347112,-4.051617294,322556,37610,2025-03-23 08:00:00,16.8,16.8,20,66145010,0,43
Ayton Castle,55.84727645,-2.114611023,15132,37004,2025-03-23 07:00:00,6,6,10,66099010,0,164
Badbea,57.86243941,-5.318746664,518147,38286,2025-03-23 08:00:00,10,10,10,66247010,0,117
Baddinsgill Reservoir,55.7838821,-3.394584951,15103,36956,2025-03-23 07:00:00,5.5,5.5,10,66096010,0,211
Baintown Rain-gauge,56.22101614,-3.042679056,501947,38184,2025-03-23 08:00:00,9.6,9.6,10,66237010,0,195
